Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,2,9,6,1652,1655,1812,1815,WN,2300,N378SW,80,80,69,-3,-3,OKC,STL,462,4,7,0,,0,NA,NA,NA,NA,NA
2008,6,29,7,900,900,1453,1502,UA,106,N548UA,233,242,213,-9,0,LAX,ORD,1745,6,14,0,,0,NA,NA,NA,NA,NA
2008,9,5,5,924,915,1008,1010,MQ,3351,N688AE,44,55,27,-2,9,DFW,CLL,164,4,13,0,,0,NA,NA,NA,NA,NA
2008,5,28,3,1733,1735,1829,1830,WN,121,N664WN,56,55,44,-1,-2,JAX,TPA,180,3,9,0,,0,NA,NA,NA,NA,NA
2008,11,1,6,935,916,1120,1059,UA,1425,N445UA,105,103,80,21,19,LAS,SFO,414,7,18,0,,0,0,0,21,0,0
2008,8,27,3,632,630,725,725,WN,2,N742SW,53,55,41,0,2,HOU,DAL,239,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,724,730,809,810,YV,1001,N646BR,45,40,29,-1,-6,HNL,KOA,163,4,12,0,,0,NA,NA,NA,NA,NA
2008,2,20,3,1520,1501,1614,1600,OO,5949,N937SW,54,59,37,14,19,GJT,DEN,212,4,13,0,,0,NA,NA,NA,NA,NA
2008,10,3,5,1201,1205,1257,1300,MQ,4212,N686MQ,56,55,34,-3,-4,ORD,CID,196,3,19,0,,0,NA,NA,NA,NA,NA
2008,6,11,3,655,700,929,948,AS,254,N775AS,154,168,126,-19,-5,SEA,LAX,954,7,21,0,,0,NA,NA,NA,NA,NA
2008,4,19,6,1007,955,1110,1105,WN,1851,N486WN,63,70,50,5,12,BUR,OAK,325,5,8,0,,0,NA,NA,NA,NA,NA
2008,11,4,2,1830,1815,2020,2025,WN,267,N643SW,110,130,97,-5,15,STL,HOU,687,4,9,0,,0,NA,NA,NA,NA,NA
2008,11,1,6,1117,1018,1216,1127,OO,5494,N294SW,59,69,42,49,59,SFO,RDD,199,3,14,0,,0,0,0,0,0,49
2008,4,4,5,908,842,1049,951,OO,6336,N770SK,101,69,88,58,26,RNO,SFO,192,3,10,0,,0,26,0,32,0,0
2008,4,11,5,600,600,848,845,WN,2716,N317WN,108,105,87,3,0,MDW,BWI,611,5,16,0,,0,NA,NA,NA,NA,NA
2008,9,11,4,1457,1455,1604,1600,WN,193,N504SW,247,245,230,4,2,SDF,LAS,1624,8,9,0,,0,NA,NA,NA,NA,NA
2008,6,24,2,604,600,750,748,DL,852,N3762Y,106,108,81,2,4,FLL,ATL,581,10,15,0,,0,NA,NA,NA,NA,NA
2008,6,26,4,1333,1305,1512,1440,WN,969,N727SW,219,215,200,32,28,MDW,PHX,1444,6,13,0,,0,25,0,4,0,3
2008,1,19,6,550,600,656,723,YV,7093,N37208,66,83,53,-27,-10,CAE,IAD,401,5,8,0,,0,NA,NA,NA,NA,NA
2008,7,11,5,1807,1830,2006,1957,DL,1047,N604DL,299,267,250,9,-23,ATL,SAN,1891,26,23,0,,0,NA,NA,NA,NA,NA
2008,4,4,5,1706,1711,1753,1810,9E,3768,89329E,47,59,29,-17,-5,DTW,CAK,133,6,12,0,,0,NA,NA,NA,NA,NA
2008,9,3,3,2004,2010,2129,2139,OO,3642,N406SW,85,89,60,-10,-6,SLC,HLN,402,3,22,0,,0,NA,NA,NA,NA,NA
2008,5,4,7,1258,1255,1551,1615,AA,1362,N566AA,113,140,95,-24,3,ORD,JFK,740,9,9,0,,0,NA,NA,NA,NA,NA
2008,11,30,7,1538,1525,1640,1640,AA,1215,N5FSAA,62,75,46,0,13,TUL,DFW,237,8,8,0,,0,NA,NA,NA,NA,NA
2008,5,16,5,1201,1200,1311,1300,WN,21,N636WN,70,60,47,11,1,DAL,HOU,239,4,19,0,,0,NA,NA,NA,NA,NA
2008,9,26,5,1355,1200,1602,1426,FL,334,N287AT,127,146,105,96,115,LGA,ATL,761,6,16,0,,0,0,0,0,0,96
2008,7,6,7,1958,1855,2045,1950,WN,1469,N253WN,107,115,90,55,63,DEN,LAS,629,5,12,0,,0,7,0,0,0,48
2008,7,7,1,719,710,833,822,CO,615,N27734,74,72,46,11,9,IAH,DFW,224,10,18,0,,0,NA,NA,NA,NA,NA
2008,5,25,7,2053,2055,2319,2329,CO,467,N37253,266,274,251,-10,-2,IAH,SEA,1874,4,11,0,,0,NA,NA,NA,NA,NA
2008,6,17,2,1509,1505,1622,1633,DL,1299,N397DA,73,88,58,-11,4,RDU,ATL,356,4,11,0,,0,NA,NA,NA,NA,NA
2008,10,6,1,1252,1300,1429,1420,AA,1785,N4WYAA,157,140,118,9,-8,EWR,ORD,719,18,21,0,,0,NA,NA,NA,NA,NA
2008,9,7,7,1203,1205,2018,2025,AA,442,N627AA,315,320,292,-7,-2,SFO,MIA,2585,4,19,0,,0,NA,NA,NA,NA,NA
2008,7,29,2,1424,1425,1519,1533,FL,102,N975AT,115,128,101,-14,-1,ATL,DFW,732,4,10,0,,0,NA,NA,NA,NA,NA
2008,11,30,7,637,610,807,738,US,1197,N749US,90,88,77,29,27,PVD,DCA,357,3,10,0,,0,27,0,2,0,0
2008,5,12,1,1730,1736,1911,1910,US,454,N624AW,221,214,186,1,-6,MSP,PHX,1276,11,24,0,,0,NA,NA,NA,NA,NA
2008,2,20,3,951,958,1041,1033,NW,1283,N783NC,110,95,67,8,-7,GRR,MSP,408,23,20,0,,0,NA,NA,NA,NA,NA
2008,3,24,1,1037,1044,1225,1230,OO,5951,N756SK,108,106,88,-5,-7,MEM,ORD,491,10,10,0,,0,NA,NA,NA,NA,NA
2008,7,15,2,644,645,749,800,WN,1906,N757LV,65,75,51,-11,-1,SJC,ONT,333,3,11,0,,0,NA,NA,NA,NA,NA
2008,4,20,7,1827,1830,2126,2115,YV,7266,N593ML,119,105,75,11,-3,ORD,GSP,577,4,40,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,808,810,1055,1125,AA,431,N380AA,347,375,333,-30,-2,MIA,SFO,2585,4,10,0,,0,NA,NA,NA,NA,NA
2008,3,30,7,1200,1200,1435,1420,WN,291,N421LV,335,320,322,15,0,ORF,LAS,2155,3,10,0,,0,0,0,15,0,0
2008,2,28,4,1154,1115,1333,1305,NW,351,N8960E,99,110,83,28,39,MKE,MEM,556,5,11,0,,0,28,0,0,0,0
